Language,txt1,txt2,txt3,txt4,txt5,txt6
English,If you stay with your second-rate anti-virus software…,you could get a false sense of security.,Switch to the company Forbes calls an,anti-virus powerhouse.,Switch to Kaspersky Lab for award-winning Internet security.,Get Protection >
Arabic,إذا استمررت باستخدام البرنامج المضاد للفيروسات من الدرجة الثانية الحالي لديك…,فقد يكون شعورك بالأمان ز ائفًا.,التبديل إلى شركة فوربس يستدعي,قوة مكافحة الفيرو سات.,انتقل إلى Kaspersky Lab للحصول على برامج أمن الإنترنت الحائزة على الجو ائز.,احصل على الحماية
Brazilian Portuguese,Se você ficar com seu anti-virus de qualidade inferior...,você pode ter uma sensação falsa de segurança.,Mude para a companhia que a Forbes considera como,Anti-virus powerhouse,Mude para a Kaspersky Lab para a proteção mais premiada do mercado.,Proteja-se!
Danish,Hvis du har andenrangs anti-virus software...,kan du få en falsk følelse af sikkerhed.,Skift til det selskab Forbes kalder en,anti-virus kraftcenter.,Skift til Kaspersky Lab for at få prisvindende sikkerhedsprodukter.,Få beskyttelse
Dutch,Inferieure anti-virussoftware...,geeft je een onterecht gevoel van veiligheid.,Schakel over naar het bedrijf Forbes noemt een,anti-virus powerhouse.,Kies voor Kaspersky Lab en zijn bekroonde Internetbeveiliging.,Ga voor veiligheid
European Portuguese,"Se continuar com o seu software antivírus de segunda classe,",pode ficar com uma falsa sensação de segurança.,Alterne para a empresa Forbes chama de,powerhouse anti-vírus.,Mude para a Kaspersky Lab para obter uma segurança na Internet premiada.,Obtenha proteção
European Spanish,Si te quedas con tu software de antivirus de segunda categoría...,puedes tener una falsa sensación de seguridad.,Cambie a la empresa Forbes llama un,potencia antivirus.,Pásate a Kaspersky Lab para obtener seguridad en Internet de manos de una compañía galardonada.,Obtener protección
French,Avec un logiciel antivirus de second choix...,vous pourriez ressentir une fausse impression de sécurité.,Passez à la société Forbes appelle une,puissance anti-virus.,"Pour une sécurité Internet primée, optez pour Kaspersky Lab.",Protégez-vous
German,,,,,,
Italian,,,,,,
LATAM Spanish,Si te quedas con tu software antivirus de segunda…,podrías conseguir un falso sentido de seguridad.,Cambie a la empresa Forbes llama un,potencia antivirus.,Cámbiate a Kaspersky Lab y accede a su galardonada seguridad de Internet.,Protégete
Russian,Пользуясь обычным антивирусом…,вы можете испытывать ложное чувство безопасности.,Переключитесь на компании Forbes называет,антивирус электростанция.,Перейдите на продукт «Лаборатории Касперского» и получите отмеченную наградами защиту от любых интернет-угроз.,Получить защиту
Swedish,Om du fortsätter att använda ditt gamla antivirusprogram...,kan du invaggas i en känsla av falsk säkerhet.,Växla till företaget Forbes kallar en,anti-virus kraftpaket.,Byt till Kaspersky Lab för prisbelönt Internetsäkerhet.,Få bättre skydd
Turkish,İkinci sınıf anti-virüs yazılımınızla kalırsanız...,sahte bir güven duygusu hissedebilirsiniz.,Forbes bir çağıran şirkete geçiş,anti-virüs devine .,Ödüllü İnternet güvenliği için Kaspersky Lab\'e geçin.,Koruma Edinin
Bulgarian,Ако останете с второкласната си антивирусна програма...,можете да получите фалшиво усещане за сигурност.,Превключете на компанията Forbes нарича,анти-вирус електростанция.,Преминете към Kaspersky Lab за спечелила награди сигурност в интернет.,Защитете се
Chinese Simplified,如果 您仍在使用 二流的 反病毒 软件...,您可能会获得 虚假的 安全感。,切换到公司 福布斯 调用 一个,“杀毒 强国。 ”,求助于 卡巴斯基实验室， 获取 屡获殊荣 的网络安全保护。,获取 保护
Chinese Traditional,如果 您仍在使用 二流的 防毒軟體...,您可能會有 安全的錯覺。,切換到公司 福布斯 調用 一個,“殺毒 強國。 ”,請改用 卡巴斯基實驗室 獲獎的 網路 安全 軟體。,獲得 完善 保護
Czech,Pokud budete nadále používat druhořadý antivirový software...,budete mít falešný pocit bezpečí.,Přepněte do společnosti Forbes volá,Anti-virus powerhouse.,Přejděte na oceňované řešení zabezpečení od společnosti Kaspersky Lab.,Získejte ochranu
Greek,Εάν συνεχίσετε να χρησιμοποιείτε υποδεέστερο λογισμικό προστασίας από ιούς…,μπορεί να έχετε μια ψευδή αίσθηση ασφάλειας.,Εναλλαγή στην εταιρεία Forbes αποκαλεί,Antivirus εργοστάσιο παραγωγής ηλεκτρικού ρεύματος.,Επιλέξτε τα προϊόντα της Kaspersky Lab για βραβευμένη ασφάλεια στο διαδίκτυο.,Λήψη προστασίας
Hungarian,Ha továbbra is a másodosztályú vírusirtó szoftverét használja...,hamis biztonságérzetbe ringathatja magát.,Váltás a vállalat Forbes nevez,anti-vírus erőmű.,Váltson át a Kaspersky Lab díjnyertes Internet Security szoftverére.,Védje meg magát
Korean,그저 그런 안티 바이러스 소프트웨어를 사용하면서,안전할 거라는 착각은 하지 마세요.,Forbes 선정가 선정한, ,수상으로 성능이 입증된 Kaspersky Lab의 Internet Security로 바꾸세요.,보호 받기
Norwegian,"Hvis du holder deg til middelmådig antivirusprogramvare, ...",kan du tro du er beskyttet når du egentlig ikke er det.,Bytt til selskapet Forbes kaller en,anti-virus drivkraft.,Bytt til Kaspersky Labs prisbelønte Internet Security.,Vær beskyttet
Romanian,Dacă foloseşti un software anti-virus de calitatea a doua...,ai un sentiment de siguranţă fals.,,,Încearcă Kaspersky Lab pentru securitate pe Internet premiată.,Obţine protecţie
Serbian,Ako ste zadovoljni antivirusnim softverom druge klase...,mogli biste da dobijete lažni osećaj sigurnosti.,,,Prebacite se na Kaspersky Lab kako biste dobili nagrađivanu bezbednost na Internetu.,Zaštitite se
